"","correlation.bio1","correlation.bio10","correlation.bio11","correlation.bio12","correlation.bio13","correlation.bio14","correlation.bio15","correlation.bio16","correlation.bio17","correlation.bio18","correlation.bio19","correlation.bio2","correlation.bio3","correlation.bio4","correlation.bio5","correlation.bio6","correlation.bio7","correlation.bio8","correlation.bio9","correlation.pr_mean","correlation.tas_mean","correlation.tasmax_mean","correlation.tasmin_mean","correlation.roadLength","correlation.pd_mean","correlation.der","mean.bio1","mean.bio10","mean.bio11","mean.bio12","mean.bio13","mean.bio14","mean.bio15","mean.bio16","mean.bio17","mean.bio18","mean.bio19","mean.bio2","mean.bio3","mean.bio4","mean.bio5","mean.bio6","mean.bio7","mean.bio8","mean.bio9","mean.pr_mean","mean.tas_mean","mean.tasmax_mean","mean.tasmin_mean","mean.roadLength","mean.pd_mean","mean.der","n.bio1","n.bio10","n.bio11","n.bio12","n.bio13","n.bio14","n.bio15","n.bio16","n.bio17","n.bio18","n.bio19","n.bio2","n.bio3","n.bio4","n.bio5","n.bio6","n.bio7","n.bio8","n.bio9","n.pr_mean","n.tas_mean","n.tasmax_mean","n.tasmin_mean","n.roadLength","n.pd_mean","n.der"
"bio1",1,0.907239004282315,0.754719927783944,-0.286317683807389,-0.188924037527459,-0.357500065455122,0.45955493132912,-0.235397843769096,-0.36544015207154,0.0691162856494408,-0.547981001257221,0.339197611662155,0.160769459492503,0.416379365213817,0.716000077777365,0.311285913630136,0.372863400436749,0.882680197015372,0.240393290947253,-0.286317644493414,0.999979283183347,0.885258284965817,0.792547913742049,-0.125320927441086,-0.0352105308614258,-0.00115025064557537,NA,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,18.8113963788823,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio10",0.907239004282315,1,0.414567908166385,-0.583176189005209,-0.507120250428272,-0.601004477391627,0.395333930604665,-0.549690610205443,-0.608329885748018,-0.200729173128477,-0.772259058608446,0.651947805032772,0.419181385717559,0.75800827238421,0.933915498778667,-0.0861758340468745,0.710849033378737,0.854688931394285,0.174137324005406,-0.583177113531091,0.907253333625817,0.966867995526986,0.488415330233369,0.119328944148452,-0.0545411248179139,-0.0014965774662415,24.4562299944978,NA,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,24.4562299944978,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio11",0.754719927783944,0.414567908166385,1,0.275535976311231,0.345903400703949,0.177814399908427,0.297515196413634,0.310519102821539,0.174129921290258,0.409668906481491,0.0412967174174576,-0.322277725209475,-0.374014698239909,-0.279010285268007,0.090447109570133,0.844687449550238,-0.320243700080055,0.549354382757432,0.330343531024624,0.27553750487681,0.754742545600505,0.389564266396898,0.980654271156844,-0.464358449664731,0.00618219086423011,-0.000123077774861513,12.9293333679508,12.9293333679508,NA,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,12.9293333679508,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio12",-0.286317683807389,-0.583176189005209,0.275535976311231,1,0.958700106331912,0.90010929305992,-0.251645797680759,0.96087157012984,0.908807048223697,0.824764861201142,0.83687840849897,-0.745347988963586,-0.580693685977025,-0.812884695544182,-0.734073487559694,0.583445143422279,-0.793965986451746,-0.346756084558972,-0.09373707501863,0.999999925297856,-0.286289086615546,-0.560159641627253,0.209719438138788,-0.312932608020862,0.0674052161867889,0.000704320996651903,459.535139060365,459.535139060365,459.535139060365,NA,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,459.535139060365,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio13",-0.188924037527459,-0.507120250428272,0.345903400703949,0.958700106331912,1,0.776841261489644,-0.00621606661242669,0.989817620091258,0.786317759529567,0.869992410234591,0.737446361601845,-0.656441257293069,-0.455782098041019,-0.783273858901433,-0.659370615921059,0.574042994192622,-0.735961524714917,-0.224931198588271,-0.161643267221453,0.958699499693242,-0.188898630054432,-0.442665907472038,0.256128664072944,-0.325370727171774,0.0597256793761111,0.000750135993996964,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,NA,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,-175.682907714022,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio14",-0.357500065455122,-0.601004477391627,0.177814399908427,0.90010929305992,0.776841261489644,1,-0.535738717761786,0.773560728466749,0.992888784480658,0.605459720420349,0.877480911761474,-0.787190676258765,-0.708443987361469,-0.761579942793028,-0.746722671665163,0.552446910719598,-0.788922548562387,-0.448125478320998,0.0116189604231606,0.900110305129264,-0.357474242630863,-0.639063373307971,0.15458161606266,-0.333455297942466,0.0554878785426188,0.000437735222676371,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,NA,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,-238.651177844764,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio15",0.45955493132912,0.395333930604665,0.297515196413634,-0.251645797680759,-0.00621606661242669,-0.535738717761786,1,-0.0105234822654884,-0.548306921171965,0.0671805752970496,-0.440660714188131,0.386232549589898,0.470200920748303,0.204288601469589,0.382337956683953,-0.0427525276203286,0.29442474562337,0.529950735163031,-0.185816279633401,-0.251646649998383,0.459543904475562,0.532639375642685,0.232834312462556,-0.0645516203418408,-0.0390605842353026,0.000221415676399396,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,NA,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,-239.602714286157,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio16",-0.235397843769096,-0.549690610205443,0.310519102821539,0.96087157012984,0.989817620091258,0.773560728466749,-0.0105234822654884,1,0.782513882826746,0.858413558849538,0.75626567958074,-0.670179413000828,-0.459101967142753,-0.803016588703091,-0.692558450962834,0.558782096996572,-0.752864772461824,-0.266329630710903,-0.160264690515404,0.960870977404906,-0.235376458796469,-0.482520571224741,0.218383061184478,-0.323782594460588,0.0566564939190363,0.000940832670461436,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,NA,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,-13.8465502117113,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio17",-0.36544015207154,-0.608329885748018,0.174129921290258,0.908807048223697,0.786317759529567,0.992888784480658,-0.548306921171965,0.782513882826746,1,0.616278896844829,0.882888801715811,-0.793614921637315,-0.711270934764034,-0.766708409033526,-0.75453425909448,0.552866959640172,-0.794731148223065,-0.454557503069311,0.01167009540294,0.90880789593228,-0.365414689451107,-0.648471357715952,0.149941364611928,-0.3222470600604,0.0554691478219147,0.000452138774621409,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,NA,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,-153.205555540074,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio18",0.0691162856494408,-0.200729173128477,0.409668906481491,0.824764861201142,0.869992410234591,0.605459720420349,0.0671805752970496,0.858413558849538,0.616278896844829,1,0.394746177354142,-0.3472773380492,-0.17509727127383,-0.507297676960249,-0.331987606781969,0.439038747813642,-0.438974691340703,0.084751943497576,-0.23736307823328,0.824763384200677,0.0691420331991621,-0.102034806291108,0.321641657403327,-0.175939526768142,0.0587670019778671,-0.000285003749702622,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,NA,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,-72.1452884844858,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio19",-0.547981001257221,-0.772259058608446,0.0412967174174576,0.83687840849897,0.737446361601845,0.877480911761474,-0.440660714188131,0.75626567958074,0.882888801715811,0.394746177354142,1,-0.867615299639018,-0.752613240709376,-0.842002043473613,-0.881902824462284,0.51350753444074,-0.86836422637811,-0.664846862378835,0.0786247667539176,0.836879721644525,-0.547958847365519,-0.818323391170823,0.00988607850176871,-0.33701059378227,0.0473340372253069,0.00144628699929969,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,NA,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,-98.3682402749043,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio2",0.339197611662155,0.651947805032772,-0.322277725209475,-0.745347988963586,-0.656441257293069,-0.787190676258765,0.386232549589898,-0.670179413000828,-0.793614921637315,-0.3472773380492,-0.867615299639018,1,0.923112454877793,0.918791569618433,0.870687092699341,-0.771108325530746,0.977796868299314,0.484737284732747,-0.196177981238414,-0.745349677892478,0.339187120785272,0.736373005024499,-0.302660474133868,0.50405456167115,-0.0479112709374808,-0.00130841022899616,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,NA,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,-264.507439908813,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
