"","correlation.bio1","correlation.bio10","correlation.bio11","correlation.bio12","correlation.bio13","correlation.bio14","correlation.bio15","correlation.bio16","correlation.bio17","correlation.bio18","correlation.bio19","correlation.bio2","correlation.bio3","correlation.bio4","correlation.bio5","correlation.bio6","correlation.bio7","correlation.bio8","correlation.bio9","correlation.pr_mean","correlation.tas_mean","correlation.tasmax_mean","correlation.tasmin_mean","correlation.roadLength","correlation.pd_mean","correlation.der","mean.bio1","mean.bio10","mean.bio11","mean.bio12","mean.bio13","mean.bio14","mean.bio15","mean.bio16","mean.bio17","mean.bio18","mean.bio19","mean.bio2","mean.bio3","mean.bio4","mean.bio5","mean.bio6","mean.bio7","mean.bio8","mean.bio9","mean.pr_mean","mean.tas_mean","mean.tasmax_mean","mean.tasmin_mean","mean.roadLength","mean.pd_mean","mean.der","n.bio1","n.bio10","n.bio11","n.bio12","n.bio13","n.bio14","n.bio15","n.bio16","n.bio17","n.bio18","n.bio19","n.bio2","n.bio3","n.bio4","n.bio5","n.bio6","n.bio7","n.bio8","n.bio9","n.pr_mean","n.tas_mean","n.tasmax_mean","n.tasmin_mean","n.roadLength","n.pd_mean","n.der"
"bio3",0.160769459492503,0.419181385717559,-0.374014698239909,-0.580693685977025,-0.455782098041019,-0.708443987361469,0.470200920748303,-0.459101967142753,-0.711270934764034,-0.17509727127383,-0.752613240709376,0.923112454877793,1,0.709835011327701,0.672777963655108,-0.764556325029919,0.832499601476317,0.34461880089554,-0.312562585186412,-0.580694811035716,0.160747772845088,0.579492782396999,-0.42066135817278,0.524151206744283,-0.0115430904586515,-0.000585637906855698,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,NA,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,-272.769289894973,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio4",0.416379365213817,0.75800827238421,-0.279010285268007,-0.812884695544182,-0.783273858901433,-0.761579942793028,0.204288601469589,-0.803016588703091,-0.766708409033526,-0.507297676960249,-0.842002043473613,0.918791569618433,0.709835011327701,1,0.920941067268163,-0.695469200287811,0.979431856183621,0.503187039129359,-0.0475386750294445,-0.812886758380296,0.416378842823186,0.740911267403794,-0.187475867503598,0.458270918159382,-0.0622002672407517,-0.00148641934211398,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,NA,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,173.179785701307,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio5",0.716000077777365,0.933915498778667,0.090447109570133,-0.734073487559694,-0.659370615921059,-0.746722671665163,0.382337956683953,-0.692558450962834,-0.75453425909448,-0.331987606781969,-0.881902824462284,0.870687092699341,0.672777963655108,0.920941067268163,1,-0.419086315606292,0.910215693340316,0.73649266859687,0.0567291021774201,-0.734074829396696,0.716007056441406,0.93820269669608,0.154918836332267,0.32629021146063,-0.057433761992373,-0.00153182304002434,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,NA,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,29.5537723774958,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio6",0.311285913630136,-0.0861758340468745,0.844687449550238,0.583445143422279,0.574042994192622,0.552446910719598,-0.0427525276203286,0.558782096996572,0.552866959640172,0.439038747813642,0.51350753444074,-0.771108325530746,-0.764556325029919,-0.695469200287811,-0.419086315606292,1,-0.757470880387509,0.0719507993530887,0.371116165919126,0.583447200017545,0.311307672067338,-0.151703459534188,0.81960910098163,-0.58479501573627,0.0263662840217874,0.000661564216796586,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,NA,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,8.58870199219762,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio7",0.372863400436749,0.710849033378737,-0.320243700080055,-0.793965986451746,-0.735961524714917,-0.788922548562387,0.29442474562337,-0.752864772461824,-0.794731148223065,-0.438974691340703,-0.86836422637811,0.977796868299314,0.832499601476317,0.979431856183621,0.910215693340316,-0.757470880387509,1,0.496764889266129,-0.128482644419567,-0.793967889373587,0.372858494019295,0.743820399916209,-0.262445799565123,0.501360599656384,-0.0533246312120117,-0.00140322837546699,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,NA,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,-252.184929463301,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio8",0.882680197015372,0.854688931394285,0.549354382757432,-0.346756084558972,-0.224931198588271,-0.448125478320998,0.529950735163031,-0.266329630710903,-0.454557503069311,0.084751943497576,-0.664846862378835,0.484737284732747,0.34461880089554,0.503187039129359,0.73649266859687,0.0719507993530887,0.496764889266129,1,-0.062580991307943,-0.346756744923236,0.882672148253376,0.87550427365037,0.583761573576184,-0.00617640900252285,-0.0260605613767485,-0.00105795738448035,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,NA,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,20.214815982101,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"bio9",0.240393290947253,0.174137324005406,0.330343531024624,-0.09373707501863,-0.161643267221453,0.0116189604231606,-0.185816279633401,-0.160264690515404,0.01167009540294,-0.23736307823328,0.0786247667539176,-0.196177981238414,-0.312562585186412,-0.0475386750294445,0.0567291021774201,0.371116165919126,-0.128482644419567,-0.062580991307943,1,-0.0937364515915565,0.240399339920517,0.0642138795994008,0.353369595602391,-0.148542945980517,-0.0122398694854238,-5.65922102026573e-05,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,NA,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,17.4285033442178,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400,2519400
"pr_mean",-0.286317644493414,-0.583177113531091,0.27553750487681,0.999999925297856,0.958699499693242,0.900110305129264,-0.251646649998383,0.960870977404906,0.90880789593228,0.824763384200677,0.836879721644525,-0.745349677892478,-0.580694811035716,-0.812886758380296,-0.734074829396696,0.583447200017545,-0.793967889373587,-0.346756744923236,-0.0937364515915565,1,-0.286289148936869,-0.560160475015643,0.209720538755367,-0.312932977302686,0.0674054972138767,0.00070428702218951,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,NA,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,61.0571037513536,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400,2519400
"tas_mean",0.999979283183347,0.907253333625817,0.754742545600505,-0.286289086615546,-0.188898630054432,-0.357474242630863,0.459543904475562,-0.235376458796469,-0.365414689451107,0.0691420331991621,-0.547958847365519,0.339187120785272,0.160747772845088,0.416378842823186,0.716007056441406,0.311307672067338,0.372858494019295,0.882672148253376,0.240399339920517,-0.286289148936869,1,0.885268216542578,0.792575793378055,-0.125335181598212,-0.0352123555386756,-0.00114858703536882,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,NA,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,18.8071839991183,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400,2519400
"tasmax_mean",0.885258284965817,0.966867995526986,0.389564266396898,-0.560159641627253,-0.442665907472038,-0.639063373307971,0.532639375642685,-0.482520571224741,-0.648471357715952,-0.102034806291108,-0.818323391170823,0.736373005024499,0.579492782396999,0.740911267403794,0.93820269669608,-0.151703459534188,0.743820399916209,0.87550427365037,0.0642138795994008,-0.560160475015643,0.885268216542578,1,0.421956293467989,0.156821354309204,-0.0479386227198484,-0.00145984908940177,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,23.156990414801,NA,23.156990414801,23.156990414801,23.156990414801,23.156990414801,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400,2519400
"tasmin_mean",0.792547913742049,0.488415330233369,0.980654271156844,0.209719438138788,0.256128664072944,0.15458161606266,0.232834312462556,0.218383061184478,0.149941364611928,0.321641657403327,0.00988607850176871,-0.302660474133868,-0.42066135817278,-0.187475867503598,0.154918836332267,0.81960910098163,-0.262445799565123,0.583761573576184,0.353369595602391,0.209720538755367,0.792575793378055,0.421956293467989,1,-0.454528291224311,-0.00332268021121096,-0.000301758340216652,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,14.5183918373675,NA,14.5183918373675,14.5183918373675,14.5183918373675,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400,2519400
"roadLength",-0.125320927441086,0.119328944148452,-0.464358449664731,-0.312932608020862,-0.325370727171774,-0.333455297942466,-0.0645516203418408,-0.323782594460588,-0.3222470600604,-0.175939526768142,-0.33701059378227,0.50405456167115,0.524151206744283,0.458270918159382,0.32629021146063,-0.58479501573627,0.501360599656384,-0.00617640900252285,-0.148542945980517,-0.312932977302686,-0.125335181598212,0.156821354309204,-0.454528291224311,1,0.267671958512371,-0.000269856530126503,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,1.46410381001672,NA,1.46410381001672,1.46410381001672,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,2519400,NA,2519400,2519400
"pd_mean",-0.0352105308614258,-0.0545411248179139,0.00618219086423011,0.0674052161867889,0.0597256793761111,0.0554878785426188,-0.0390605842353026,0.0566564939190363,0.0554691478219147,0.0587670019778671,0.0473340372253069,-0.0479112709374808,-0.0115430904586515,-0.0622002672407517,-0.057433761992373,0.0263662840217874,-0.0533246312120117,-0.0260605613767485,-0.0122398694854238,0.0674054972138767,-0.0352123555386756,-0.0479386227198484,-0.00332268021121096,0.267671958512371,1,-7.8869457061572e-05,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,832.809429031226,NA,832.809429031226,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,1814008,NA,1814008
"der",-0.00115025064557537,-0.0014965774662415,-0.000123077774861513,0.000704320996651903,0.000750135993996964,0.000437735222676371,0.000221415676399396,0.000940832670461436,0.000452138774621409,-0.000285003749702622,0.00144628699929969,-0.00130841022899616,-0.000585637906855698,-0.00148641934211398,-0.00153182304002434,0.000661564216796586,-0.00140322837546699,-0.00105795738448035,-5.65922102026573e-05,0.00070428702218951,-0.00114858703536882,-0.00145984908940177,-0.000301758340216652,-0.000269856530126503,-7.8869457061572e-05,1,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,57745.6216544962,NA,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,1779126,NA
